Ticker,Benefit Category,Benefit Description,desc_lower,cat_lower,Screen,IconName
INTC,"Insurance, Health, & Wellness",Free Drinks $365,free drinks $365,"insurance, health, & wellness",food,drink
INTC,"Insurance, Health, & Wellness",On-Site Clinic,on-site clinic,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Gender Neutral Bathrooms,gender neutral bathrooms,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
INTC,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
INTC,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
INTC,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Gym / Wellness Reimbursement,gym / wellness reimbursement,"insurance, health, & wellness",office,gym3
INTC,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
INTC,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
INTC,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
INTC,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
INTC,"Insurance, Health, & Wellness",Sabbatical,sabbatical,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Custom Work Station,custom work station,"insurance, health, & wellness",other,
INTC,"Insurance, Health, & Wellness",Free Snacks $730,free snacks $730,"insurance, health, & wellness",food,snack
INTC,"Insurance, Health, & Wellness","Free Breakfast $2,600","free breakfast $2,600","insurance, health, & wellness",food,breakfast
INTC,"Insurance, Health, & Wellness","Free Lunch $2,600","free lunch $2,600","insurance, health, & wellness",food,lunch
INTC,"Insurance, Health, & Wellness","Free Dinner $2,600","free dinner $2,600","insurance, health, & wellness",food,dinner
INTC,Home,Adoption Assistance,adoption assistance,home,office,child3
INTC,Home,Fertility Assistance,fertility assistance,home,office,child3
INTC,Home,On-Site Car Wash / Detailing,on-site car wash / detailing,home,other,
INTC,Home,Relocation Bonus,relocation bonus,home,other,
INTC,Home,On-Site Laundry,on-site laundry,home,other,
INTC,Home,Business Travel Insurance,business travel insurance,home,insurance,business travel
INTC,Home,Immigration Assistance,immigration assistance,home,other,
INTC,Home,Company Phones,company phones,home,office,phone1
INTC,Home,Remote Work,remote work,home,other,
INTC,Home,Military Leave,military leave,home,other,
INTC,Financial & Retirement,Mega Backdoor Roth,mega backdoor roth,financial & retirement,office,roth3
INTC,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
INTC,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
INTC,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
INTC,Financial & Retirement,"401k $6,000","401k $6,000",financial & retirement,office,roth3
INTC,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
INTC,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
INTC,Transportation,Company Shuttle,company shuttle,transportation,transportation,shuttle
INTC,Transportation,Transport allowance,transport allowance,transportation,transportation,transport
INTC,Other,Additional Leaves,additional leaves,other,other,
INTC,Other,Family Care,family care,other,other,
INTC,Other,Donation Match,donation match,other,other,
INTC,Other,Volunteer Time Off,volunteer time off,other,other,
SNPS,Unique To Synopsys,Genetic Testing,genetic testing,unique to synopsys,unique,
SNPS,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
SNPS,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
SNPS,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
SNPS,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
SNPS,"Insurance, Health, & Wellness",Health Savings Account (HSA) $500,health savings account (hsa) $500,"insurance, health, & wellness",other,
SNPS,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
SNPS,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
SNPS,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
SNPS,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
SNPS,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
SNPS,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
SNPS,"Insurance, Health, & Wellness",Pet Insurance,pet insurance,"insurance, health, & wellness",insurance,PET INSURANCE
SNPS,"Insurance, Health, & Wellness",Free Snacks $730,free snacks $730,"insurance, health, & wellness",food,snack
SNPS,Home,Business Travel Insurance,business travel insurance,home,insurance,business travel
SNPS,Home,Adoption Assistance,adoption assistance,home,office,child3
SNPS,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
SNPS,Financial & Retirement,Student Loan Repayment Plan,student loan repayment plan,financial & retirement,other,
SNPS,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
SNPS,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
SNPS,Financial & Retirement,"401k $1,200","401k $1,200",financial & retirement,office,roth3
SNPS,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
SNPS,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
SNPS,Other,Designed for Wellness,designed for wellness,other,other,
SNPS,Other,Near-Site Health Center,near-site health center,other,other,
SNPS,Other,Weight Management Program,weight management program,other,other,
SNPS,Other,Fitness Resources,fitness resources,other,office,gym1
CDW,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
CDW,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
CDW,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
CDW,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
CDW,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
CDW,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
CDW,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
CDW,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
CDW,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
CDW,Home,Military Leave,military leave,home,other,
CDW,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
CDW,Financial & Retirement,401k,401k,financial & retirement,office,roth3
CDW,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
CDW,Perks & Discounts,Learning and Development,learning and development,perks & discounts,office,tuition
CDW,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
HON,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
HON,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
HON,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
HON,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
HON,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
HON,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
HON,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
HON,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
HON,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
HON,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
HON,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
HON,Home,Adoption Assistance,adoption assistance,home,office,child3
HON,Home,Military Leave,military leave,home,other,
HON,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
HON,Financial & Retirement,Roth 401k,roth 401k,financial & retirement,office,roth3
HON,Financial & Retirement,"401k $8,400","401k $8,400",financial & retirement,office,roth3
HON,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
HON,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
HON,Transportation,Transport allowance,transport allowance,transportation,transportation,transport
HON,Other,Business Travel and Accident Insurance (BTA) Insurance,business travel and accident insurance (bta) insurance,other,insurance,business travel
DXCM,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
DXCM,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
DXCM,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
DXCM,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
DXCM,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
DXCM,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
DXCM,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
DXCM,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child2
DXCM,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child2
DXCM,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
DXCM,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
DXCM,"Insurance, Health, & Wellness",Gym Discount,gym discount,"insurance, health, & wellness",office,gym1
DXCM,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
DXCM,Home,Military Leave,military leave,home,other,
DXCM,Home,Phone Bill Reimbursement,phone bill reimbursement,home,office,phone1
DXCM,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth3
DXCM,Financial & Retirement,401k,401k,financial & retirement,office,roth3
DXCM,Financial & Retirement,Employee Stock Purchase Program (ESPP),employee stock purchase program (espp),financial & retirement,office,roth3
DXCM,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
LULU,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
LULU,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
LULU,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
LULU,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
LULU,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child2
LULU,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child2
LULU,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
LULU,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
LULU,"Insurance, Health, & Wellness","Gym / Wellness Reimbursement CA$4,230","gym / wellness reimbursement ca$4,230","insurance, health, & wellness",office,gym1
LULU,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
LULU,"Insurance, Health, & Wellness",Sabbatical,sabbatical,"insurance, health, & wellness",other,
LULU,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
LULU,Home,Relocation Bonus,relocation bonus,home,other,
LULU,Home,"Phone Bill Reimbursement CA$1,269","phone bill reimbursement ca$1,269",home,office,phone1
LULU,Perks & Discounts,Employee Discount,employee discount,perks & discounts,other,
LULU,Transportation,Transport allowance,transport allowance,transportation,transportation,transport
ADI,"Insurance, Health, & Wellness",Health Insurance,health insurance,"insurance, health, & wellness",insurance,health
ADI,"Insurance, Health, & Wellness",Dental Insurance,dental insurance,"insurance, health, & wellness",insurance,dental
ADI,"Insurance, Health, & Wellness",Vision Insurance,vision insurance,"insurance, health, & wellness",insurance,vision
ADI,"Insurance, Health, & Wellness",PTO (Vacation / Personal Days),pto (vacation / personal days),"insurance, health, & wellness",other,
ADI,"Insurance, Health, & Wellness",Accidental death and dismemberment (AD&D) Insurance,accidental death and dismemberment (ad&d) insurance,"insurance, health, & wellness",insurance,AD&D
ADI,"Insurance, Health, & Wellness",Life Insurance,life insurance,"insurance, health, & wellness",insurance,life
ADI,"Insurance, Health, & Wellness",Disability Insurance,disability insurance,"insurance, health, & wellness",insurance,disability
ADI,"Insurance, Health, & Wellness",Sick Time,sick time,"insurance, health, & wellness",other,
ADI,"Insurance, Health, & Wellness",Employee Assistance Program,employee assistance program,"insurance, health, & wellness",other,
ADI,"Insurance, Health, & Wellness",On-Site Mother's Room,on-site mother's room,"insurance, health, & wellness",office,child3
ADI,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
ADI,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
ADI,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
ADI,"Insurance, Health, & Wellness",Gym / Wellness Reimbursement,gym / wellness reimbursement,"insurance, health, & wellness",office,gym2
ADI,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym2
ADI,Home,Relocation Bonus,relocation bonus,home,other,
ADI,Home,Immigration Assistance,immigration assistance,home,other,
ADI,Financial & Retirement,401k,401k,financial & retirement,office,roth2
ADI,Financial & Retirement,Flexible Spending Account (FSA),flexible spending account (fsa),financial & retirement,office,roth2
ADI,Perks & Discounts,Learning and Development,learning and development,perks & discounts,office,tuition
ADI,Perks & Discounts,Tuition Reimbursement,tuition reimbursement,perks & discounts,office,tuition
ADI,Other,Donation Match,donation match,other,other,
EA,"Insurance, Health, & Wellness",Gym On-Site $300,gym on-site $300,"insurance, health, & wellness",office,gym3
EA,"Insurance, Health, & Wellness",Health Savings Account (HSA),health savings account (hsa),"insurance, health, & wellness",other,
EA,"Insurance, Health, & Wellness",On-Site Fitness Classes,on-site fitness classes,"insurance, health, & wellness",office,gym3
EA,"Insurance, Health, & Wellness",Paternity Leave,paternity leave,"insurance, health, & wellness",office,child3
EA,"Insurance, Health, & Wellness",Maternity Leave,maternity leave,"insurance, health, & wellness",office,child3
